,GROUP,SOC_1,OCCUPATION,YEAR,SKILL_COEF,DEGREE_COEF,DEGREE_PREV,DEMAND,LOG_COUNT,DEMAND_CHANGE
45,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2020,-0.15118534526336402,0.0,0.23333333333333334,0.0010895224260032686,10.223213201696582,1.7639004902850917
46,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2021,-0.27462877655385665,0.0,0.0,0.000688737947085926,10.647945527330501,-0.6109020450632681
44,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2022,0.05011979503421815,0.0,0.03508771929824561,0.0013238573021181717,10.670256872966688,0.21508036046079537
42,AI/ML,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,2023,0.14021092203242946,0.0,0.08771929824561403,0.0011794160855800864,10.785787073542922,0.7124308172219007
41,Green,Administrative and secretarial occupations,Administrative occupations,2018,0.05575410666138647,-0.15849697037791444,0.0905292479108635,0.006775758262084064,11.570873566924426,
37,Green,Administrative and secretarial occupations,Administrative occupations,2019,0.105165284017492,0.777306362739564,0.09866666666666667,0.008898274921101963,11.341971056651351,
39,Green,Administrative and secretarial occupations,Administrative occupations,2020,0.09022597510795166,0.31776387927164934,0.10091743119266056,0.009995720486641805,11.088705580378416,0.4752179903725424
40,Green,Administrative and secretarial occupations,Administrative occupations,2021,0.07468203336792323,0.2027367397468025,0.10317460317460317,0.00995688860401612,11.642997129631992,0.11896841717080364
38,Green,Administrative and secretarial occupations,Administrative occupations,2022,0.06455976340609718,0.42135374665528524,0.10893672537508153,0.010053513811285119,11.934814951492534,0.005781806796273381
36,Green,Administrative and secretarial occupations,Administrative occupations,2023,0.12406625530866738,0.13436579524413572,0.09795240730492528,0.012351923878791193,11.893366738973565,0.24054053128695574
35,Green,Associate professional occupations,Business and public service associate professionals,2018,0.1093874568392198,-0.059069272908250425,0.20228628230616302,0.012663326703758717,11.975929655195719,
31,Green,Associate professional occupations,Business and public service associate professionals,2019,0.14354760275821676,0.0335615734570488,0.19343780607247796,0.01630677825336996,11.737859412568058,
33,Green,Associate professional occupations,Business and public service associate professionals,2020,0.09957444615815575,0.25020242899851075,0.1867408906882591,0.019430077287655608,11.529762916159896,0.5343580515764779
34,Green,Associate professional occupations,Business and public service associate professionals,2021,0.13184735579565748,0.04350930290042254,0.18175698418041064,0.01711030995519414,12.064727951263805,0.049275932335568484
32,Green,Associate professional occupations,Business and public service associate professionals,2022,0.1332299438699689,0.19833166867833363,0.2025036818851252,0.019183681157236496,12.266075897865983,-0.012681170886317261
30,Green,Associate professional occupations,Business and public service associate professionals,2023,0.2042263333968813,0.022810700426925123,0.17970687711386696,0.02469843957096555,12.098298107352079,0.44348288462582186
59,Green,Professional occupations,"Business, media and public service professionals",2018,-0.005858436046103865,-0.11474057685581718,0.25614754098360654,0.00843692190660604,12.064065434424608,
